Time,Empty,Time,Si_chip,Time,Paper+Si
11.6116029,-0.0730786,27.49416021,0.165192,28.02802701,0.420281
11.6783696,0.0143254,27.56089356,0.132759,28.09476036,0.34291
11.7450696,0.0139008,27.62762691,0.159187,28.16149371,0.368998
11.8118363,-0.0405476,27.69436026,0.226753,28.22822706,0.275313
11.8785363,-0.106394,27.76109361,0.00540161,28.29496041,0.350661
11.945303,-0.179612,27.82782696,0.144707,28.36169376,0.253425
12.012003,-0.411969,27.89456031,-0.104111,28.42842711,0.138213
12.0787697,-0.272093,27.96129366,-0.22261,28.49516046,0.0160446
12.1454697,-0.121192,28.02802701,0.0352936,28.56189381,0.0324081
12.2122364,-0.161949,28.09476036,0.0519409,28.62862716,-0.00544313
12.2789364,-0.066219,28.16149371,0.121544,28.69536051,0.158758
12.3457031,-0.334028,28.22822706,0.124016,28.76209386,0.16049
12.4124031,-0.337464,28.29496041,-0.330948,28.82882721,0.0952122
12.4791698,-0.212042,28.36169376,-0.146233,28.89556056,0.0328912
12.5458698,-0.186807,28.42842711,-0.00151825,28.96229391,-0.0654187
12.6126365,-0.287703,28.49516046,-0.0287704,29.02902726,-0.0275955
12.6793365,-0.362118,28.56189381,-0.203499,29.09576061,-0.088986
12.7461032,-0.230111,28.62862716,-0.109558,29.16249396,-0.0455687
12.8128032,-0.37033,28.69536051,-0.0638199,29.22922731,-0.11753
12.8795699,-0.391591,28.76209386,-0.228004,29.29596066,-0.194842
12.9462699,-0.149826,28.82882721,-0.164124,29.36269401,-0.129721
13.0130366,-0.0640259,28.89556056,0.0767365,29.42942736,-0.0847458
13.0797366,-0.0251422,28.96229391,0.0774689,29.49616071,-0.15743
13.1465033,-0.00667237,29.02902726,0.176582,29.56289406,-4.60E-04
13.2132033,0.0290366,29.09576061,0.143311,29.62962741,0.0156666
13.27997,0.185446,29.16249396,0.305183,29.69636076,-0.0312991
13.34667,0.0556709,29.22922731,0.0376663,29.76309411,-0.0438571
13.4134367,0.344725,29.29596066,0.154648,29.82982746,0.0549291
13.4801367,0.542282,29.36269401,0.57856,29.89656081,0.106722
13.5469034,0.384065,29.42942736,0.46785,29.96329416,0.126886
